,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010364001,815,23,30,0,0,28,316,105,155,43,68,44,54,8,147,57,17,46,0.0,0.0,143774.0
421010365011,2154,0,543,76,130,137,596,432,944,574,270,100,30,645,299,60,43,43,0.0,0.0,84751.0
421010365012,2139,1,368,0,228,141,617,394,847,290,328,229,66,259,588,69,46,44,1.0,253.0,56926.0
421010365013,844,0,206,10,34,27,419,83,441,237,92,112,61,227,214,39,53,45,0.0,0.0,42725.0
421010365021,2566,0,222,27,208,180,839,412,897,207,395,295,116,214,683,40,9,39,0.0,0.0,15637.0
421010365022,1568,40,102,6,200,30,365,321,514,157,152,205,31,57,457,38,24,36,0.0,0.0,41642.0
421010366001,1945,124,489,15,91,148,130,932,1066,174,337,555,86,465,601,365,89,90,2.0,1151.0,373933.0
421010367001,1534,92,445,7,25,166,76,1074,900,116,349,435,37,574,326,367,92,91,2.0,432.0,295768.0
421010367002,1469,87,196,29,74,94,208,538,600,137,190,273,196,197,403,119,96,80,0.0,0.0,42395.0
421010369001,145,0,0,0,0,145,0,3,0,0,0,0,12,0,0,184,82,100,3.0,7191.0,239352.0
421010369002,1824,89,6,0,10,1633,65,15,16,0,10,6,0,16,0,242,70,93,2.0,7505.0,239835.0
421010369003,3386,74,162,0,83,2519,145,437,545,254,163,128,107,534,11,318,82,100,4.0,3366.0,248580.0
421010372001,956,8,98,20,89,0,327,137,402,97,175,130,56,28,374,56,80,79,1.0,1124.0,44043.0
421010372002,1658,53,247,104,103,74,461,248,655,205,333,117,73,107,548,88,82,75,1.0,418.0,25818.0
421010372003,597,0,139,13,17,0,270,94,311,127,124,60,41,66,245,32,87,79,0.0,0.0,9680.0
421010372004,1397,0,109,43,71,23,294,159,368,171,147,50,35,33,335,173,79,62,3.0,1120.0,159782.0
421010373001,1810,0,182,12,97,96,490,464,719,147,343,229,54,158,561,61,74,75,1.0,514.0,56652.0
421010373002,2805,10,210,31,170,133,626,829,1098,205,357,536,31,146,952,108,56,63,0.0,0.0,77269.0
421010373003,1220,77,336,42,103,108,291,308,610,222,224,164,40,556,54,47,6,54,0.0,0.0,146225.0
421010375001,2503,61,309,49,163,633,167,831,775,241,293,241,97,519,256,55,77,66,0.0,0.0,73475.0
421010375002,1675,59,222,24,116,141,308,396,610,202,187,221,84,112,498,58,39,57,0.0,0.0,35417.0
421010376001,1160,14,120,107,44,71,452,79,344,299,27,18,130,275,69,216,92,100,0.0,0.0,188890.0
421010376002,1898,94,450,0,73,382,257,812,876,242,448,186,114,659,217,398,92,100,0.0,0.0,183842.0
421010377001,2908,96,35,48,32,1956,399,89,258,131,120,7,174,121,137,288,88,89,2.0,11029.0,150949.0
421010377002,2215,0,249,189,53,613,428,135,739,465,234,40,154,586,153,195,86,88,0.0,0.0,74011.0
421010377003,353,0,23,27,10,28,85,0,87,59,28,0,13,49,38,46,83,87,0.0,0.0,10000.0
421010378001,1040,22,230,0,50,62,265,250,493,207,185,101,115,122,371,204,41,51,1.0,33.0,139081.0
421010378002,636,0,110,68,0,12,153,62,265,109,93,63,0,152,113,154,51,51,0.0,0.0,236034.0
421010378003,948,25,60,0,20,16,285,339,284,88,110,86,48,43,241,47,82,61,1.0,462.0,13948.0
421010379001,444,10,36,63,25,42,95,73,166,71,85,10,47,73,93,66,93,60,0.0,0.0,12464.0
421010379002,1295,0,92,43,35,23,398,376,477,182,83,212,100,36,441,41,86,59,0.0,0.0,11878.0
421010379003,643,0,40,17,41,0,163,191,241,58,108,75,16,53,188,409,62,47,4.0,2705.0,180367.0
421010379004,1230,1,37,104,73,108,318,90,406,189,141,76,131,177,229,94,89,55,0.0,0.0,22616.0
421010379005,662,30,72,8,79,29,202,136,253,151,79,23,0,56,197,57,88,54,0.0,0.0,17901.0
421010379006,1163,15,136,53,66,86,344,130,501,161,234,106,72,118,383,76,83,54,0.0,0.0,27805.0
